Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
14.234,1.736,1.465,139.437,-32.467,-0.953,1.113,-0.932,14.411,341.198,81.744,11.332,977.231,1.17520154,-4.058,-6.903,302.439,302.439
14.334,2.158,2.115,97.701,-11.481,-2.096,0.283,-0.43,15.012,341.557,78.816,11.368,977.228,1.17272913,-4.354,-5.14,301.3,301.3
14.435,1.387,1.373,95.865,-8.093,-1.366,0.14,-0.195,14.846,341.456,79.478,11.332,977.222,1.17341352,-3.812,-6.14,301.725,301.725
14.534,0.462,0.459,180.137,-5.773,0.001,0.459,-0.046,14.766,341.411,80.087,11.369,977.206,1.17370558,-4.184,-7.526,301.046,301.046
14.634,2.492,2.488,241.2,2.917,2.181,1.199,0.127,14.502,341.254,81.415,11.36,977.232,1.17481709,-4.658,-5.203,301.13,301.13
14.734,2.098,2.094,262.537,3.672,2.076,0.272,0.134,13.867,340.877,84.809,11.356,977.219,1.17740083,-4.144,-5.249,300.529,300.529
14.834,0.561,0.533,279.357,-17.885,0.526,-0.087,-0.172,13.769,340.818,85.291,11.345,977.226,1.17781782,-4.503,-8.176,301.955,301.955
14.934,2.111,2.078,105.49,-10.19,-2.002,0.555,-0.373,14.805,341.433,79.796,11.353,977.222,1.17357147,-4.863,-6.565,301.16,301.16
15.034,2.286,2.238,95.49,-11.838,-2.227,0.214,-0.469,14.917,341.502,79.44,11.394,977.229,1.17310858,-3.861,-4.312,300.644,300.644
15.135,1.083,0.459,107.251,-64.936,-0.438,0.136,-0.981,14.621,341.323,80.688,11.341,977.224,1.17433,-4.147,-7.046,301.763,301.763
15.234,2.367,2.35,231.37,-6.951,1.836,1.467,-0.286,14.602,341.313,80.869,11.356,977.23,1.17440915,-4.216,-8.382,302.051,302.051
15.335,2.651,2.65,253.669,1.392,2.543,0.745,0.064,13.939,340.919,84.349,11.345,977.232,1.17712593,-4.02,-4.794,300.403,300.403
15.434,1.636,1.636,269.434,0.0,1.636,0.016,0.0,13.558,340.693,86.514,11.353,977.214,1.17866707,-4.16,-5.52,300.593,300.593
15.535,0.643,0.579,128.287,-25.857,-0.454,0.359,-0.281,14.035,340.976,83.871,11.353,977.219,1.17671561,-4.13,-8.739,301.694,301.694
15.634,2.462,2.305,109.438,-20.583,-2.174,0.767,-0.866,14.704,341.374,80.382,11.364,977.241,1.17400348,-4.546,-6.949,300.235,300.235
15.734,1.847,1.818,94.882,-10.093,-1.812,0.155,-0.324,14.726,341.387,80.269,11.364,977.212,1.17387927,-4.027,-4.51,300.948,300.948
15.834,0.86,0.742,193.848,-30.27,0.178,0.721,-0.433,14.664,341.348,80.382,11.326,977.227,1.17416406,-4.748,-7.305,301.133,301.133
15.934,2.393,2.393,238.452,0.167,2.039,1.252,0.007,14.462,341.229,81.524,11.341,977.222,1.1749779,-4.238,-8.996,301.603,301.603
16.034,2.122,2.108,261.054,6.628,2.082,0.328,0.245,13.849,340.864,84.761,11.329,977.242,1.17751634,-4.462,-5.569,301.171,301.171
16.134,1.203,1.203,279.806,0.0,1.186,-0.205,0.0,13.67,340.759,85.842,11.345,977.217,1.17821312,-4.071,-5.822,301.146,301.146
16.234,1.781,1.752,120.205,-10.321,-1.514,0.882,-0.319,14.691,341.365,80.324,11.341,977.223,1.17404234,-4.225,-9.319,301.377,301.377
16.334,2.229,2.229,98.993,-0.367,-2.202,0.348,-0.014,15.119,341.618,78.12,11.337,977.227,1.17230618,-4.379,-7.328,301.515,301.515
16.435,0.941,0.928,105.586,-9.437,-0.894,0.249,-0.154,14.85,341.459,79.503,11.341,977.23,1.17340243,-4.221,-5.27,300.688,300.688
16.534,1.516,1.399,215.154,-22.651,0.806,1.144,-0.584,14.863,341.469,79.64,11.379,977.212,1.17331326,-4.302,-7.998,301.349,301.349
16.634,2.347,2.315,251.643,9.558,2.197,0.729,0.39,14.345,341.16,82.135,11.34,977.21,1.17543972,-4.089,-8.596,300.931,300.931
16.734,1.569,1.545,278.887,10.034,1.527,-0.239,0.273,13.737,340.8,85.607,11.369,977.239,1.17795634,-4.305,-5.971,300.924,300.924
16.834,0.715,0.268,6.143,-68.02,-0.029,-0.266,-0.663,13.873,340.881,84.824,11.364,977.221,1.17737687,-4.476,-6.323,300.589,300.589
16.935,1.98,1.979,106.312,-1.313,-1.9,0.556,-0.045,14.838,341.453,79.627,11.353,977.233,1.17344964,-4.323,-8.908,302.213,302.213
17.034,1.628,1.613,96.506,-7.675,-1.603,0.183,-0.217,14.871,341.472,79.414,11.345,977.218,1.17330027,-4.143,-7.402,301.554,301.554
17.134,0.847,0.622,217.118,-42.719,0.375,0.496,-0.575,14.696,341.37,80.487,11.377,977.238,1.17402649,-4.062,-5.757,300.281,300.281
