Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
11.32,1.611,1.541,169.021,-16.954,-0.294,1.513,-0.47,15.156,341.654,79.103,11.562,977.256,1.17209673,-3.378,-10.253,302.215,302.215
11.42,3.073,3.047,206.728,-7.439,1.37,2.721,-0.398,15.217,341.689,78.712,11.547,977.227,1.17182124,-10.853,-7.863,298.787,298.787
11.519,3.803,3.793,233.651,4.036,3.055,2.248,0.268,14.962,341.538,80.017,11.547,977.23,1.17286468,-5.205,-8.098,300.633,300.633
11.62,3.904,3.9,246.231,2.442,3.569,1.572,0.166,14.35,341.175,83.257,11.55,977.223,1.17535079,10.73,-8.184,304.771,304.771
11.72,2.452,2.435,256.153,6.769,2.364,0.583,0.289,13.875,340.895,86.056,11.584,977.222,1.17728102,2.296,-9.334,303.231,303.231
11.82,0.491,0.469,233.305,-17.415,0.376,0.28,-0.147,14.378,341.19,82.974,11.526,977.223,1.17524433,-7.604,-5.86,301.648,301.648
11.919,1.562,1.492,156.85,-17.224,-0.587,1.372,-0.463,14.895,341.5,80.507,11.574,977.234,1.1731292,-8.059,-4.515,298.933,298.933
12.02,2.178,2.128,204.757,-12.379,0.891,1.932,-0.467,14.984,341.552,80.046,11.574,977.219,1.17274916,-1.103,-7.378,303.038,303.038
12.12,3.161,3.155,223.752,-3.588,2.182,2.279,-0.198,14.957,341.535,80.018,11.542,977.217,1.17286968,2.432,-7.208,302.748,302.748
12.22,3.812,3.793,249.71,5.765,3.557,1.315,0.383,14.709,341.39,81.478,11.575,977.241,1.17389345,-5.646,-4.81,301.055,301.055
12.32,3.232,3.128,260.177,14.577,3.082,0.534,0.813,13.974,340.952,85.335,11.554,977.236,1.1769048,-11.754,-3.888,300.26,300.26
12.42,1.763,1.756,258.653,5.193,1.721,0.345,0.16,13.895,340.906,85.839,11.565,977.252,1.17724288,-2.38,-4.455,301.756,301.756
12.52,0.785,0.529,151.821,-47.632,-0.25,0.466,-0.58,14.652,341.355,81.693,11.558,977.224,1.17411387,-5.627,-5.349,301.294,301.294
12.62,2.391,2.345,166.214,-11.238,-0.559,2.278,-0.466,14.984,341.55,79.861,11.539,977.238,1.17278552,-11.403,-2.592,299.1,299.1
12.72,2.894,2.867,198.428,-7.796,0.906,2.72,-0.393,14.847,341.471,80.761,11.575,977.228,1.17331791,-6.649,-3.517,301.056,301.056
12.819,4.087,4.083,217.295,2.416,2.474,3.248,0.172,14.822,341.455,80.756,11.55,977.227,1.17342818,0.924,-5.542,303.278,303.278
12.919,3.951,3.882,238.395,10.717,3.306,2.034,0.735,14.267,341.126,83.73,11.554,977.22,1.17568493,-0.609,-6.119,302.17,302.17
13.02,3.169,3.089,242.729,12.916,2.745,1.415,0.708,13.869,340.889,85.877,11.547,977.211,1.17730665,-5.199,-4.855,300.784,300.784
13.12,1.831,1.808,188.412,8.992,0.265,1.789,0.286,14.231,341.106,83.985,11.565,977.213,1.17581689,-4.011,-5.953,302.145,302.145
13.22,3.335,3.327,162.552,-3.812,-0.998,3.174,-0.222,14.885,341.493,80.543,11.571,977.2,1.17313147,1.574,-8.331,303.49,303.49
13.321,2.491,2.467,185.917,-7.952,0.254,2.454,-0.345,15.029,341.578,79.685,11.55,977.178,1.17252564,4.534,-8.107,303.309,303.309
13.42,3.388,3.388,216.157,0.068,1.999,2.735,0.004,15.258,341.714,78.567,11.558,977.188,1.17160547,2.867,-5.886,302.432,302.432
13.52,3.602,3.562,253.833,8.587,3.421,0.992,0.538,14.965,341.54,80.061,11.558,977.197,1.17280638,7.195,-6.316,303.928,303.928
13.62,3.384,3.384,268.662,0.0,3.383,0.079,0.0,14.216,341.096,84.07,11.565,977.213,1.17587984,-0.805,-6.776,302.294,302.294
13.72,1.884,1.797,274.523,17.559,1.791,-0.142,0.568,13.95,340.938,85.424,11.547,977.214,1.17697608,-9.632,-5.796,299.473,299.473
13.821,1.117,0.437,66.078,-66.979,-0.399,-0.177,-1.028,14.405,341.207,82.875,11.534,977.237,1.17514873,-10.415,-8.552,300.027,300.027
13.92,1.826,1.666,141.852,-24.158,-1.029,1.31,-0.747,15.055,341.593,79.574,11.554,977.222,1.17247188,-3.605,-9.124,301.686,301.686
14.019,1.518,1.485,186.192,-11.839,0.16,1.477,-0.311,-11.29,325.607,100.0,11.554,977.233,1.29044592,-4.693,-5.885,301.554,301.554
14.12,3.275,3.271,214.776,2.944,1.866,2.687,0.168,14.788,341.434,80.877,11.539,977.223,1.17356598,-10.698,-7.765,299.629,299.629
14.22,3.454,3.368,226.235,12.788,2.433,2.33,0.765,14.305,341.149,83.586,11.565,977.223,1.17552745,-4.255,-10.642,301.979,301.979
14.32,2.704,2.631,220.365,13.331,1.704,2.005,0.624,13.865,340.888,85.99,11.562,977.218,1.17732573,-2.066,-8.357,302.992,302.992
14.42,2.688,2.676,174.672,-5.277,-0.248,2.665,-0.247,13.898,340.907,85.787,11.559,977.202,1.17717266,-5.317,-7.45,301.246,301.246
14.52,3.304,3.299,147.73,-3.067,-1.761,2.79,-0.177,14.675,341.37,81.658,11.575,977.187,1.17396712,-4.412,-10.784,302.009,302.009
14.62,2.371,2.371,141.935,1.216,-1.462,1.867,0.05,14.705,341.387,81.451,11.565,977.173,1.17383242,-4.273,-10.082,301.176,301.176
14.72,3.015,2.889,191.486,-16.603,0.575,2.831,-0.861,14.848,341.47,80.584,11.542,977.196,1.1732887,-2.437,-7.257,302.53,302.53
14.82,3.565,3.561,215.196,2.954,2.052,2.91,0.184,14.773,341.425,80.954,11.539,977.188,1.17358422,-5.039,-8.295,301.712,301.712
14.92,2.922,2.799,232.259,16.714,2.213,1.713,0.84,14.256,341.121,83.891,11.572,977.18,1.17567301,-2.525,-9.361,301.841,301.841
15.02,1.76,1.648,219.897,20.541,1.057,1.264,0.618,13.957,340.942,85.46,11.559,977.195,1.17692244,0.338,-8.513,302.615,302.615
15.12,1.714,1.71,149.522,-3.745,-0.867,1.474,-0.112,14.651,341.354,81.698,11.558,977.183,1.17406988,26.311,-6.461,304.637,304.637
15.22,1.991,1.991,122.258,0.99,-1.684,1.063,0.034,15.242,341.704,78.627,11.555,977.198,1.17168045,37.178,-5.932,304.086,304.086
15.32,1.083,1.005,102.343,-21.919,-0.981,0.215,-0.404,15.054,341.592,79.56,11.55,977.203,1.17245579,12.407,-12.493,305.709,305.709
15.42,2.017,1.298,214.82,-49.942,0.741,1.066,-1.544,14.878,341.49,80.593,11.574,977.206,1.17316306,-15.346,-7.553,298.097,298.097
15.52,3.088,3.086,243.506,2.288,2.762,1.377,0.123,14.487,341.256,82.453,11.537,977.208,1.17477512,-3.353,1.506,301.886,301.886
15.62,2.819,2.818,252.997,1.231,2.695,0.824,0.061,13.736,340.813,86.895,11.594,977.217,1.17784142,-4.338,-8.723,302.289,302.289
15.72,1.266,1.253,252.27,8.254,1.193,0.381,0.182,13.819,340.861,86.246,11.563,977.202,1.17749178,-3.732,-13.732,302.488,302.488
15.82,1.683,1.656,124.751,-10.262,-1.361,0.944,-0.3,14.765,341.424,81.258,11.588,977.187,1.17359495,-3.885,-3.521,301.944,301.944
15.92,1.822,1.822,113.764,0.0,-1.668,0.734,0.0,14.912,341.51,80.464,11.582,977.218,1.1730386,-4.059,-0.527,301.221,301.221
16.02,1.752,0.986,199.933,-55.747,0.336,0.927,-1.448,14.72,341.395,81.335,11.558,977.198,1.17380655,-4.112,-9.663,302.445,302.445
16.12,2.914,2.89,230.702,-7.255,2.237,1.831,-0.368,14.673,341.368,81.668,11.575,977.214,1.17400849,-3.872,-6.589,302.409,302.409
16.22,3.492,3.492,249.424,0.0,3.269,1.227,0.0,14.11,341.033,84.656,11.566,977.204,1.17630351,-3.953,-0.417,302.453,302.453
16.32,2.403,2.402,259.249,2.212,2.359,0.448,0.093,13.506,340.673,87.906,11.542,977.227,1.17881978,-4.568,-4.677,301.825,301.825
16.42,0.799,0.795,202.306,-5.857,0.302,0.736,-0.082,14.001,340.97,85.328,11.58,977.21,1.17674994,-4.533,-8.003,301.988,301.988
16.52,1.622,1.412,121.416,-29.48,-1.205,0.736,-0.798,14.694,341.379,81.41,11.546,977.208,1.17393053,-4.262,-5.307,301.864,301.864
16.62,1.025,1.009,101.053,-10.271,-0.99,0.193,-0.183,14.784,341.433,81.024,11.562,977.221,1.17357194,-4.327,-2.054,302.122,302.122
16.72,1.876,1.442,233.069,-39.783,1.152,0.866,-1.2,14.697,341.381,81.395,11.547,977.219,1.17392981,-4.061,-3.838,301.071,301.071
16.82,3.196,3.192,242.971,-2.912,2.843,1.45,-0.162,14.516,341.276,82.544,11.582,977.209,1.1746403,-3.791,-8.268,302.251,302.251
16.92,2.432,2.43,265.142,2.581,2.421,0.206,0.11,13.9,340.907,85.681,11.542,977.204,1.17717361,-4.124,-7.283,301.171,301.171
17.02,1.384,1.312,293.252,18.548,1.206,-0.518,0.44,13.63,340.749,87.38,11.575,977.218,1.17828298,-4.154,-2.615,301.696,301.696
17.12,1.518,1.491,106.736,-10.862,-1.428,0.429,-0.286,14.698,341.381,81.387,11.546,977.196,1.17389774,-4.165,-4.2,300.912,300.912
17.22,1.997,1.992,98.489,-4.149,-1.97,0.294,-0.145,15.061,341.598,79.705,11.584,977.186,1.17239332,-4.188,-9.475,301.872,301.872
