frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
251,4.1875,950.000,1662.500,82.000,49.000,1,779.221
252,4.2042,964.000,1663.500,82.000,49.000,1,841.299
253,4.2209,976.500,1665.000,79.000,48.000,1,754.626
254,4.2376,991.500,1665.000,81.000,48.000,1,899.101
255,4.2542,1004.500,1667.000,79.000,48.000,1,788.388
256,4.2709,1019.500,1667.000,81.000,48.000,1,899.101
257,4.2876,1034.000,1668.500,82.000,49.000,1,873.769
258,4.3043,1048.500,1669.000,81.000,48.000,1,869.647
259,4.3210,1063.500,1670.000,81.000,48.000,1,901.097
260,4.3377,1077.500,1671.000,81.000,48.000,1,841.299
261,4.3544,1093.500,1672.000,81.000,48.000,1,960.912
262,4.3710,1107.500,1673.000,81.000,48.000,1,841.299
263,4.3877,1123.500,1674.000,79.000,48.000,1,960.912
264,4.4044,1139.000,1674.500,78.000,47.000,1,929.554
265,4.4211,1154.000,1676.000,76.000,46.000,1,903.585
266,4.4378,1169.000,1676.000,76.000,46.000,1,899.101
267,4.4545,1185.000,1676.500,72.000,43.000,1,959.509
268,4.4711,1201.500,1678.500,75.000,45.000,1,996.250
269,4.4878,1217.000,1678.500,72.000,43.000,1,929.071
270,4.5045,1233.000,1680.500,72.000,43.000,1,966.504
271,4.5212,1250.000,1681.000,70.000,42.000,1,1019.422
272,4.5379,1267.000,1681.500,72.000,43.000,1,1019.422
273,4.5545,1282.500,1683.000,73.000,44.000,1,933.411
274,4.5712,1301.500,1684.000,73.000,44.000,1,1140.437
275,4.5879,1317.500,1684.500,75.000,45.000,1,959.509
276,4.6046,1335.500,1685.500,75.000,45.000,1,1080.585
277,4.6213,1353.500,1687.500,75.000,45.000,1,1085.561
278,4.6380,1370.500,1687.500,75.000,45.000,1,1018.981
279,4.6547,1386.500,1687.500,75.000,45.000,1,959.041
280,4.6713,1404.000,1689.000,76.000,46.000,1,1052.797
281,4.6880,1423.000,1690.000,76.000,46.000,1,1140.437
282,4.7047,1441.000,1691.000,76.000,46.000,1,1080.585
283,4.7214,1459.000,1692.000,76.000,46.000,1,1080.585
284,4.7381,1477.000,1693.000,76.000,46.000,1,1080.585
285,4.7548,1494.500,1693.500,75.000,45.000,1,1049.379
286,4.7714,1513.000,1693.500,72.000,43.000,1,1108.891
287,4.7881,1530.500,1695.500,69.000,41.000,1,1055.779
288,4.8048,1549.000,1695.500,68.000,41.000,1,1108.891
289,4.8215,1566.000,1697.000,66.000,40.000,1,1022.940
290,4.8382,1586.000,1697.000,66.000,40.000,1,1198.801
291,4.8548,1603.500,1697.500,65.000,39.000,1,1049.379
292,4.8715,1623.500,1699.500,65.000,39.000,1,1204.780
293,4.8882,1642.500,1700.500,65.000,39.000,1,1140.437
294,4.9049,1661.000,1700.000,66.000,40.000,1,1109.296
295,4.9216,1680.000,1701.000,66.000,40.000,1,1140.437
296,4.9383,1697.500,1701.500,65.000,39.000,1,1049.379
297,4.9550,1718.000,1703.500,68.000,41.000,1,1234.605
298,4.9716,1735.000,1703.000,66.000,40.000,1,1019.422
299,4.9883,1754.000,1703.000,66.000,40.000,1,1138.861
300,5.0050,1772.000,1703.000,66.000,40.000,1,1078.921
301,5.0217,1789.500,1704.500,65.000,39.000,1,1052.797
